NUMERO_REGISTRO;PRODUTO_TECNICO_MARCA_COMERCIAL;INGREDIENTE_ATIVO(GRUPO_QUIMICI)(CONCENTRACAO);CLASSE;TITULAR_REGISTRO;EMPRESA_<PAIS>_TIPO;CLASSIFICACAO_TOXICOLOGICA;CLASSIFICACAO_AMBIENTAL
14519;Glifosato Técnico OF I;glifosato (glicina substituída) (950 g/kg);Herbicida;Ouro Fino Química S.A. - Uberaba; (Zhejiang Xinan Chemical Industrial Group Co., Ltd - Jiande City<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
7710;Glifosato Técnico Ouro Fino;glifosato (glicina substituída) (950 g/kg);Herbicida;Ouro Fino Química S.A. - Uberaba; (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 01<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
113;Glifosato Técnico PM Milenia;glifosato (glicina substituída) (950 g/kg);Herbicida;Adama Brasil S.A.- Londrina/PR; (Youth Chemical Co. Ltd. - Jiangsu<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
7311;Glifosato Técnico RB;glifosato (glicina substituída) (970 g/kg);Herbicida;G.V.C Chemicals Brasil - Maravilha; (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 01<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
11411;Glifosato Técnico Rainbow;glifosato (glicina substituída) (970 g/kg);Herbicida;Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS ; (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 01<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
34419;Glifosato Técnico SH;glifosato (glicina substituída) (950 g/kg);Herbicida;Sinochem Agro do Brasil Ltda. ;;PT;III
10316;Glifosato Técnico Tecnomyl;glifosato (glicina substituída) (950 g/kg);Herbicida;Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu; (Anhui Guangxin Agrochemical Co., Ltd. - Anhui<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
3117;Glifosato Técnico Tecnomyl III;glifosato (glicina substituída) (970 g/kg);Herbicida;Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu; (Jingma Chemicals Co., Ltd. - Zhejiang<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
38919;Glifosato Técnico Wynca;glifosato (glicina substituída) (955 g/kg);Herbicida;Wynca do Brasil Ltda  São Paulo ; (Zhenjiang Jiangnan Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
28118;Glifosato XW Técnico;glifosato (glicina substituída) (960 g/kg);Herbicida;Xingfa Brasil Ltda; (Hubei Trisun Chemicals Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Inner Mongolia Xingfa Technology Co., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
13216;Glifosato técnico GVC;glifosato (glicina substituída) (970 g/kg);Herbicida;G.V.C Chemicals Brasil - Maravilha; (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
14607;Glifosato Ácido Agricur Técnico;glifosato (glicina substituída) (950 g/kg);Herbicida;Adama Brasil S.A.- Londrina/PR; (Adama Brasil S.A.- Londrina/PR<BRASIL>FABRICANTE) +  (Zhejiang Xinan Chemical Industrial Group Co., Ltd - Jiande City<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Jiangsu Zhenjiang Jiangnan Chemicals Factory Co., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Fujian Sannong Group Co., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
07701;Glifosato Ácido Técnico BR;glifosato (glicina substituída) (950 g/kg);Herbicida;Adama Brasil S.A.- Londrina/PR; (Monsanto do Brasil Ltda - S. J. dos Campos<BRASIL>FABRICANTE) +  (Monsanto Argentina S.A.I.C - Escritório<ARGENTINA>FABRICANTE) +  (Monsanto Europe S.A - Escritório<BÉLGICA>FABRICANTE) +  (Monsanto Company - Escritório<ESTADOS UNIDOS>FABRICANTE);IV;III
7301;Glifosato Ácido Técnico Milenia;glifosato (glicina substituída) (950 g/kg);Herbicida;Adama Brasil S.A.- Londrina/PR; (Fujian Sannong Group Co., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);I;III
04302;Glifosato Ácido Técnico Sinon;glifosato (glicina substituída) (950 g/kg);Herbicida;Sinon do Brasil Ltda. - Porto Alegre /RS.; (Sinon Corporation - Taiwan<TAIWAN (ILHA FORMOSA)>FABRICANTE) +  (Sinon Chemical CO. LTD. - Shanghai/China <CHINA, REPUBLICA POPULAR>FABRICANTE);IV;III
197;Gliphogan Agricur Técnico;glifosato (glicina substituída) (765 g/L);Herbicida;Adama Brasil S.A.- Londrina/PR; (Adama Agan Ltd. - Ashdod <ISRAEL>FABRICANTE) +  (Adama Brasil S.A.- Londrina/PR<BRASIL>FABRICANTE) +  (Adama Brasil S.A. - Taquari<BRASIL>FABRICANTE);IV;III
42319;Glufosinate Ammonium Técnico 950 AGCN;Glufosinato - sal de amônio (homoalanina substituída) (950 g/kg);Herbicida/Regulador de Crescimento;Agriconnection Importadora e Exportadora de Insumos Agrícolas - Barueri/SP; (Lier Chemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
11115;Glufosinate Ammonium Técnico UPL BR;Glufosinato - sal de amônio (homoalanina substituída) (950 g/kg);Herbicida;UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava/SP ; (Yongnong Biosciences Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);III;III
