nr_registro,marca_comercial,formulacao,ingrediente_ativo,titular_de_registro,classe,modo_de_acao,cultura,praga_nome_cientifico,praga_nome_comum,empresa_pais_tipo,classe_toxicologica,classe_ambiental,organicos,situacao
12321,Glifosato Nortox Ultra,SL - Concentrado Solúvel,glifosato-sal de isopropilamina (glicina substituída) (720 g/L),NORTOX S.A. - ARAPONGAS,Herbicida,,PERA,Digitaria insularis,capim amargoso; capim açu; capim flexa," (Nortox S.A. - Arapongas<BRASIL>FORMULADOR) +  (Jiangsu Corechem Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Zhejiang Xinan Chemical Industrial Group Co., Ltd - Jiande City<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Wasion Crop Science and Technology Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR)",Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Perigoso ao Meio Ambiente,NAO,True
5207,Bistar 100 EC; Brigade; ,EC - Concentrado Emulsionável,bifentrina (piretróide) (100 g/L),FMC QUÍMICA DO BRASIL LTDA. - CAMPINAS/SP,Acaricida/Inseticida,Contato e Ingestão,UVA,Tetranychus urticae,Ácaro-rajado," (FMC Química do Brasil Ltda - Uberaba/MG Fabrica<BRASIL>FORMULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>FORMULADOR) +  (Basf S.A.  Guaratinguetá<BRASIL>FORMULADOR) +  (Servatis S.A., Massa Falida da Sociedade Empresaria <BRASIL>FORMULADOR) +  (FMC Química do Brasil Ltda - Igarapava<BRASIL>IMPORTADOR) +  (FMC Química do Brasil Ltda - Uberaba/MG Fabrica<BRASIL>IMPORTADOR)",Categoria 4  Produto Pouco Tóxico,Produto Perigoso ao Meio Ambiente,NAO,True
6323,Hereu,EC - Concentrado Emulsionável,oxifluorfem (éter difenílico) (240 g/L),ASCENZA BRASIL LTDA - HORTOLÂNDIA/SP,Herbicida,Seletivo,CAFÉ,Brachiaria decumbens,braquiária; braquiária-decumbens; capim-braquiária," (Ascenza Agro S.A. <PORTUGAL>FORMULADOR) +  (Nantong Jiahe Chemicals Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Filial Indaiatuba/SP<BRASIL>FORMULADOR) +  (Adama Brasil S.A.- Londrina/PR<BRASIL>MANIPULADOR) +  (Nortox S.A. - Arapongas<BRASIL>MANIPULADOR) +  (Nortox S.A. - Rondonópolis<BRASIL>MANIPULADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>MANIPULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>MANIPULADOR) +  (Fersol Indústria e Comércio Ltda.<BRASIL>FORMULADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Prentiss Química Ltda. - Campo Largo/PR<BRASIL>FORMULADOR) +  (Arcad Industrialização Química Ltda - Paulínia/SP<BRASIL>MANIPULADOR) +  (Fersol Indústria e Comércio S.A. - EM RECUPERACAO JUDICIAL<BRASIL>FORMULADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Prentiss Química Ltda. - Campo Largo/PR<BRASIL>FORMULADOR) +  (Arcad Industrialização Química Ltda - Paulínia/SP<BRASIL>MANIPULADOR)",Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Muito Perigoso ao Meio Ambiente,NAO,True
6325,Glixinan WG ,WG - Grânulos Dispersíveis em Água,glifosato-sal de amônio (glicina substituída) (757 g/kg),WYNCA DO BRASIL LTDA  SÃO PAULO,Herbicida,,BANANA,Alternanthera tenella,apaga-fogo (2); corrente; periquito (2)," (Zhenjiang Jiangnan Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Zhejiang Xinan Chemical Industrial Group Co., Ltd - Jiande City<CHINA, REPUBLICA POPULAR>FORMULADOR)",Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Perigoso ao Meio Ambiente,NAO,True
10523,Tecnup Super 608,SL - Concentrado Solúvel,Glifosato Sal de Dimetilamina (glicina substituída) (608 g/L),TECNOMYL BRASIL DISTRIBUIDORA DE PRODUTOS AGRÍCOLAS LTDA - FOZ DO IGUAÇU,Herbicida,,FEIJÃO,Lolium multiflorum,azevém; azevém-anual; azevém-italiano," (Tecnomyl S.A. - Villeta<PARAGUAI>FORMULADOR) +  (Sichuan Leshan Fuhua Tongda Agro-Chemical Technology Co Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 01<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Nantong Jiangshan Agrochemical & Chemical Ltd. Liability Co.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Zhenjiang Jiangnan Chemical Company Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Zhejiang Xinan Chemical Industrial Group Co., Ltd - Jiande City<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Hubei Trisun Chemicals Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Zhejiang Zhongshan Chemical Industry Group Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>MANIPULADOR) +  (Prentiss Química Ltda. - Campo Largo/PR<BRASIL>MANIPULADOR) +  (Arcad Industrialização Química Ltda - Paulínia/SP<BRASIL>FORMULADOR) +  (Chizhou Bioagriland Multichem Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Fersol Indústria e Comércio S.A. - EM RECUPERACAO JUDICIAL<BRASIL>FORMULADOR) +  (Pilarquim (Jiangsu) Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Prentiss Química Ltda. - Campo Largo/PR<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Anhui Guangxin Agrochemical Co., Ltd. - Anhui<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Yangnong Chemical Co. Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Yangnong Chemical Co. Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR)",Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Perigoso ao Meio Ambiente,NAO,True
3078394,Glifosato Nortox,SL - Concentrado Solúvel,glifosato (glicina substituída) (480 g/L),NORTOX S.A. - ARAPONGAS,Herbicida,"Não seletivo, de ação sistêmica",PERA,Emilia sonchifolia,bela-emilia; falsa-serralha; pincel, (Nortox S.A. - Arapongas<BRASIL>FORMULADOR) +  (Nortox S.A. - Rondonópolis<BRASIL>FORMULADOR),Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Perigoso ao Meio Ambiente,OUTROS,True
30723,Glifomega 480 SL,SL - Concentrado Solúvel,glifosato-sal de isopropilamina (glicina substituída) (480 g/L),ADM DO BRASIL LTDA.  SÃO PAULO/SP,Herbicida,Sistêmico/Total,PINUS,Plantago major,plantagem (1); tanchagem (2); tanchagem-maior," (Dinagro Agropecuária Ltda.<BRASIL>FORMULADOR) +  (Iharabras S.A. Indústria Químicas - Sorocaba<BRASIL>FORMULADOR) +  (Adama Brasil S.A.- Londrina/PR<BRASIL>FORMULADOR) +  (Adama Brasil S.A. - Taquari<BRASIL>FORMULADOR) +  (Servatis S.A., Massa Falida da Sociedade Empresaria <BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Indaiatuba/SP<BRASIL>FORMULADOR) +  (CHDS Agrochemicals S.A.I.C.<PARAGUAI>FORMULADOR) +  (Jingma Chemicals Co., Ltd. - Zhejiang<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Ningbo Sunjoy Agroscience Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Sharda Cropchem Limited - Gujarat<ÍNDIA>FORMULADOR)",Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Perigoso ao Meio Ambiente,NAO,True
13024,Rayo,SL - Concentrado Solúvel,glifosato (glicina substituída) (577 g/L),MONSANTO DO BRASIL LTDA - SÃO PAULO,Herbicida,Sistêmico/ Seletivo condicional,CITROS,Amaranthus deflexus,bredo (2); bredo-rasteiro; caruru (1), (Monsanto do Brasil Ltda - S. J. dos Campos<BRASIL>FORMULADOR) +  (Monsanto Argentina S.R.L. - Zarate Plant<ARGENTINA>FORMULADOR),Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Perigoso ao Meio Ambiente,NAO,True
10323,Glifosato Wynca 480 SL,SL - Concentrado Solúvel,glifosato-sal de isopropilamina (glicina substituída) (480 g/L),WYNCA DO BRASIL LTDA  SÃO PAULO,Herbicida,Sistêmico/Total,AMEIXA,Paspalum notatum,capim-bahia; capim-batatais; grama-batatais," (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Zhenjiang Jiangnan Chemicals Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Zhejiang Xinan Chemical Industrial Group Co., Ltd - Jiande City<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Zhejiang Xinan Chemical Industrial Group Co., Ltd - Jiande City<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Zhenjiang Jiangnan Chemicals Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Prentiss Química Ltda. - Campo Largo/PR<BRASIL>MANIPULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>MANIPULADOR) +  (DKBR Trading S.A. - São Paulo/SP<BRASIL>IMPORTADOR) +  (DKBR Trading S.A.  - Londrina<BRASIL>IMPORTADOR) +  (DKBR Trading S.A.  Cuiaba<BRASIL>IMPORTADOR) +  (Perterra Insumos Agropecuários S.A.  São Paulo/SP<BRASIL>IMPORTADOR) +  (Perterra Insumos Agropecuários S.A.  Ibiporã/PR<BRASIL>IMPORTADOR) +  (Perterra Insumos Agropecuários S.A.  Cuiaba/MT<BRASIL>IMPORTADOR) +  (Solus do Brasil Ltda - Apucarana/PR<BRASIL>IMPORTADOR) +  (Solus do Brasil Ltda. - Carazinho<BRASIL>IMPORTADOR) +  (Solus do Brasil Ltda - Nova Mutum<BRASIL>IMPORTADOR) +  (Somax Agro do Brasil Ltda - Foz do Iguaçu/PR<BRASIL>IMPORTADOR) +  (Goplan S/A - Campinas<BRASIL>IMPORTADOR) +  (Louis Dreyfus Company Brasil Ltda  Paraguaçu Paulista/SP<BRASIL>IMPORTADOR) +  (Louis Dreyfus Company Brasil S.A.  Cuiabá/MT<BRASIL>IMPORTADOR) +  (Louis Dreyfus Company Brasil S.A. - Aparecida de Goiânia/GO<BRASIL>IMPORTADOR) +  (Agricola Alvorada S.A. - Primavera do Leste/MT (Parque industrial)<BRASIL>IMPORTADOR) +  (Agro Amazonia Produtos Agropecuários S.A. - Itú/SP<BRASIL>IMPORTADOR) +  (Tres Tentos Agroindustrial S/A<BRASIL>IMPORTADOR) +  (Pantanal Agrícola S.A.<BRASIL>IMPORTADOR) +  (BRA Defensivos Agrícolas Ltda - Piracicaba/SP<BRASIL>IMPORTADOR)",Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Pouco Perigoso ao Meio Ambiente,NAO,True
15717,Kick-Off 480 SL,SL - Concentrado Solúvel,glifosato-sal de isopropilamina (glicina substituída) (480 g/L),COMEXPORT TRADING COMÉRCIO EXTERIOR LTDA - ITAJAÍ/SC,Herbicida,,PINUS,Sida cordifolia,guanxuma (2); malva (1); malva-branca (1)," (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 01<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (CHDS Agrochemicals S.A.I.C.<PARAGUAI>FORMULADOR) +  (Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE<BRASIL>FORMULADOR) +  (Prentiss Química Ltda. - Campo Largo/PR<BRASIL>IMPORTADOR) +  (Agro Import do Brasil Ltda. - Porto Alegre/RS<BRASIL>IMPORTADOR) +  (CHDS do Brasil Comércio de Insumos Agrícolas Ltda - São Miguel do Iguaçu/PR   <BRASIL>IMPORTADOR) +  (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR)",Categoria 5  Produto Improvável de Causar Dano Agudo,Produto Perigoso ao Meio Ambiente,NAO,True
